text,label
I don't know what I want to do and everything feels mixed up,confused
I keep thinking about what could go wrong and it scares me,anxious
I know what to do but I keep delaying and avoiding it,avoidant
I have decided what I want and I feel calm about it,clear
I feel excited and ready to start working today,motivated
My thoughts are all over the place and I can't focus on one thing,confused
I keep changing my mind and nothing feels clear,confused
I feel nervous about making the wrong choice,anxious
The future outcome keeps worrying me,anxious
I keep telling myself I'll do it tomorrow,avoidant
I find excuses to not start even though I should,avoidant
I know exactly what I need to do next,clear
My plan feels simple and settled,clear
I feel driven and ready to take action now,motivated
I want to start immediately and give my best,motivated
